Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000163938,GNL3,Gene Expression,0.22655999238841892,0.0,0.0,22588,2.0774028752350553,3570
ENSG00000166927,MS4A7,Gene Expression,0.22602065505370728,0.0,0.0,17138,3.320640500364662,4069
ENSG00000174903,RAB1B,Gene Expression,0.22592338746822557,0.0,0.0,22652,2.0751309918230936,3486
ENSG00000239264,TXNDC5,Gene Expression,0.2258232813094649,0.0,0.0,41606,5.512309776936357,4377
ENSG00000072818,ACAP1,Gene Expression,0.2257592698876991,0.0,0.0,3553,0.5345736643581217,1778
ENSG00000180448,ARHGAP45,Gene Expression,0.22570186331857145,0.0,0.0,7392,1.1114545015313044,2838
ENSG00000134049,IER3IP1,Gene Expression,0.2255784731358245,0.0,0.0,12904,1.1193297458229987,2861
ENSG00000132463,GRSF1,Gene Expression,0.22532150922662764,0.0,0.0,24577,2.2852171145325877,3634
ENSG00000125505,MBOAT7,Gene Expression,0.22515525374301934,0.0,0.0,14818,1.3194313340359316,3063
ENSG00000158435,CNOT11,Gene Expression,0.22512247427757334,0.0,0.0,15904,1.410541458879941,3142
ENSG00000131771,PPP1R1B,Gene Expression,0.22510620808333098,0.0,0.0,10096,0.9640550379377733,2445
ENSG00000087152,ATXN7L3,Gene Expression,0.22503685514779473,0.0,0.0,12930,1.1405861936471466,2932
ENSG00000130005,GAMT,Gene Expression,0.224798268468628,0.0,0.0,9397,0.8100287416664527,2493
ENSG00000108179,PPIF,Gene Expression,0.22467315601576698,0.0,0.0,12086,1.066212597528277,2852
ENSG00000163689,C3orf67,Gene Expression,0.22466523529085655,0.0,0.0,3121,0.2422875321638885,1448
ENSG00000023902,PLEKHO1,Gene Expression,0.22458223431947086,0.0,0.0,12167,1.997092667050464,3674
ENSG00000171227,TMEM37,Gene Expression,0.22452951093680307,0.0,0.0,2542,0.8596273520709317,1840
ENSG00000131016,AKAP12,Gene Expression,0.22449557492537386,0.0,0.0,7066,1.8380139944555178,3177
ENSG00000006634,DBF4,Gene Expression,0.2243306620831779,0.0,0.0,4208,0.3203433534660469,1771
ENSG00000101347,SAMHD1,Gene Expression,0.2241501542505423,0.0,0.0,23520,4.0334798745881795,4347
ENSG00000141425,RPRD1A,Gene Expression,0.22387922268362295,0.0,0.0,14038,1.2256182332918402,2995
ENSG00000131242,RAB11FIP4,Gene Expression,0.22385238630092744,0.0,0.0,5522,0.4539731319207029,2101
ENSG00000117318,ID3,Gene Expression,0.2238395709499541,0.0,0.0,11100,2.0815318672608694,3582
ENSG00000124198,ARFGEF2,Gene Expression,0.22380533072525116,0.0,0.0,13531,1.2501730191832807,3094
ENSG00000204291,COL15A1,Gene Expression,0.22374292345516533,0.0,0.0,16702,2.791056562608516,3780
ENSG00000115053,NCL,Gene Expression,0.2237184083048948,0.0,0.0,33578,3.1000539825980393,3888
ENSG00000136158,SPRY2,Gene Expression,0.22368990060328425,0.0,0.0,4371,1.230031692805154,2559
ENSG00000166503,HDGFL3,Gene Expression,0.22365227322775139,0.0,0.0,13843,1.228677754072909,3012
ENSG00000025708,TYMP,Gene Expression,0.22358289511303026,0.0,0.0,12790,1.6615325326141288,3471
ENSG00000114251,WNT5A,Gene Expression,0.22346613663614934,0.0,0.0,3741,0.29926871156593693,1689
ENSG00000143412,ANXA9,Gene Expression,0.22338170390584647,0.0,0.0,2490,0.1813966026689816,1171
ENSG00000143341,HMCN1,Gene Expression,0.22327083651576182,0.0,0.0,6315,1.4334222142036808,2917
ENSG00000184613,NELL2,Gene Expression,0.2232284522527056,0.0,0.0,3483,0.33164134724243516,1578
ENSG00000133816,MICAL2,Gene Expression,0.22322039835108495,0.0,0.0,14832,1.4454434287385736,3187
ENSG00000134759,ELP2,Gene Expression,0.223053731613836,0.0,0.0,16807,1.6017889887279873,3304
ENSG00000198252,STYX,Gene Expression,0.2230437305469636,0.0,0.0,11548,1.0384749727564038,2894
ENSG00000076864,RAP1GAP,Gene Expression,0.22293099253186077,0.0,0.0,2730,0.20417877707999807,1245
ENSG00000148444,COMMD3,Gene Expression,0.2226017283058388,0.0,0.0,13259,1.1871741460460772,2976
