dataset,mu,phi,RPL19,TUBB,EEF1G,PPIA,GAPDH,ABCF1,SDHA,OAZ1,G6PD,ALAS1,GUSB,HPRT1,POLR2A,POLR1B,TBP
OV-020-02-1A,9420.71768707483,0.1812670154040107,2.939505395043027,2.087902433013088,2.369470239241231,2.3176687184053697,2.874304459650717,0.7853858672481707,0.37190574086864653,2.0548637839190067,0.7483196992689687,0.13130867478448036,0.16671033451349837,0.41076684463056296,0.27297756276832663,0.09218226399431295,0.06224115350864232
GBM-085-15-1A,2931.466377440347,1.2620087236504807,0.44703913894166547,0.7141972663486734,0.23137257232882089,1.126346009861115,1.7897691898512178,0.14122265162359227,0.2604942605991356,1.2296376228182082,0.027689277764940956,0.10540795191465915,0.04624103459495529,0.49408628254306725,0.2392315907967263,0.03994353029920481,0.05786231225664282
CRC-016-01-1A,6658.300112995024,1.4486832105181393,3.5382270886943603,0.8720044171153769,2.3796406591494295,1.5529592639784786,2.8391652244867407,0.1477957362791859,0.20808772888024893,2.0475722148450077,0.10587154880214725,0.07950125635970191,0.1541630418285358,0.24710499803031774,0.10692213053226718,0.02229986476688545,0.029772439928926298
LUAD-003-15-1A,10516.326767091541,0.7273952424783632,3.122640117512897,0.7462014335312315,2.150367582465995,1.9048226552482117,2.107864476111064,0.27120246266351794,0.21860563080110665,2.5443430087896233,0.21829536287798854,0.4273016514164487,0.29386018953092663,0.2546707851565738,0.4240171905395695,0.016982835235205315,0.0642953904027634
MB-078-03-1A,6726.59625,0.3852211635956133,2.070925478232371,1.2656838264093857,1.4294940759791885,1.3556968526013107,1.7159936329195404,0.2891923746188953,0.22529569628284676,1.097019428976136,0.05278994829781486,0.08692599516294384,0.099810261906724,0.1577214186358274,0.21216799551300758,0.05080254552044877,0.10036591406523554
ccRCC-061-18-1A,2804.57970749543,0.5944429632124673,2.7317021152456484,0.37003030112695723,1.9968972364889175,1.1710301167934196,1.6198879288062116,0.1536942388563655,0.19006391431542533,1.8070214609767057,0.0986063406010501,0.08733196046179988,0.14930685617627185,0.15023515314861086,0.3694836485226847,0.019038069736239213,0.023112256120158926
CaCx-120-02-1A,6882.8014818599895,0.70158306507786,1.8320532616845502,0.34074847110524853,0.93140821750491,1.1065824247086362,1.3510006087568587,0.5425289915676239,0.23105921739705418,1.3151789050323657,0.0749415807810269,0.08326772042669454,0.09407941167816203,0.14923099465727652,0.7736702055461783,0.04622749094996042,0.06869141785822426
BRCA-030-05-1A,6928.192857142857,0.943681463586231,3.5220265654604943,1.0587655155736897,0.11432554986576035,2.156531767310653,2.8619320608136682,0.18799791205684233,0.24357323161807912,1.7446300189131045,0.14601319762174159,0.08991746310546667,0.24607383570871022,0.16548190541961155,0.3351388411796612,0.0077306362898862694,0.11508093987271005
CRC-067-09-1A,2137.5687250996016,0.6385539609273286,0.07094434520685346,0.05078861549274169,0.17498663410729332,0.13348671356545716,0.20370107144127803,0.1756796616688043,0.24530577119544655,0.05306002575216953,0.018126658236472176,0.046642953120550765,0.08591104663305925,0.08904568669293547,0.15292643913908943,0.07844485648170967,0.06594093759247793
CRC-030-05-1A,6987.56765163297,0.989529730690541,3.241969352942848,1.05467305596413,0.08199228363366012,1.6144388324222405,3.1334707297959543,0.18522765620552392,0.240377357597502,1.949282108000598,0.08548559521390012,0.06808948403736444,0.13000468939372717,0.17138149211924844,0.11711971851289718,0.010762324890979667,0.04423009788328025
